,r1,wave,theta,phi,e,t,p
0,0.25,3.0,0.0,0.0,(-0.30717136060585437+0.9410001462371127j),0.9898664152271858,1.8863217236103005
1,0.25,3.0,5.0,0.0,(-0.2894530007096071+0.9423259590223575j),0.9857795152401989,1.8688168273915882
2,0.25,3.0,10.0,0.0,(-0.2377509999428053+0.9440131776324044j),0.9734918682338509,1.8175166832317
3,0.25,3.0,15.0,0.0,(-0.15798478939429977+0.9394724523729473j),0.9526634675726791,1.737400835237131
4,0.2545454545454545,3.0,0.0,0.0,(-0.4797862175445942+0.8659720578309854j),0.9900012219637814,2.0767386753522747
5,0.2545454545454545,3.0,5.0,0.0,(-0.4638107043275295+0.8697192575389625j),0.985663206365604,2.0607182337554764
6,0.2545454545454545,3.0,10.0,0.0,(-0.41797901274777205+0.878021132975171j),0.9724338358205175,2.0150982834194697
7,0.2545454545454545,3.0,15.0,0.0,(-0.35275328977033127+0.8806304521861832j),0.9486542451080018,1.9517931544064306
8,0.2590909090909091,3.0,0.0,0.0,(-0.6608442709467583+0.7390557560964415j),0.9914224937242625,2.300383175304105
9,0.2590909090909091,3.0,5.0,0.0,(-0.6477828267492486+0.7443637503111884j),0.9867623743377046,2.28692992841766
10,0.2590909090909091,3.0,10.0,0.0,(-0.611735686329788+0.755512195746468j),0.9721209944502928,2.2514219511495908
11,0.2590909090909091,3.0,15.0,0.0,(-0.5705998013982366+0.7495960527687551j),0.9420607070047053,2.221433139747062
12,0.2636363636363636,3.0,0.0,0.0,(-0.8326555790740992+0.5435967671414064j),0.9943906468837143,2.563218570753138
13,0.2636363636363636,3.0,5.0,0.0,(-0.8234725096709248+0.5485879278560135j),0.9894724295163994,2.5539211516009686
14,0.2636363636363636,3.0,10.0,0.0,(-0.7996749606912291+0.554660405279853j),0.9732051212060743,2.5351699768300877
15,0.2636363636363636,3.0,15.0,0.0,(-0.7810003091383961+0.5058493997986057j),0.9305079785530481,2.5668400637750866
16,0.2681818181818182,3.0,0.0,0.0,(-0.9616049827137056+0.26770830635003967j),0.9981742733954992,2.8700706784836307
17,0.2681818181818182,3.0,5.0,0.0,(-0.9561952271426887+0.26926160175569297j),0.9933836734064535,2.8671037701049245
18,0.2681818181818182,3.0,10.0,0.0,(-0.9415541452337085+0.25794812258783106j),0.9762486580545789,2.874193629681456
19,0.2681818181818182,3.0,15.0,0.0,(-0.9023097804363963+0.11912969132949752j),0.9101400019927918,3.0103243785167004
20,0.2727272727272727,3.0,0.0,0.0,(-0.9967227433364025-0.08027889491913921j),0.9999504627997741,-3.0612232888544564
21,0.2727272727272727,3.0,5.0,0.0,(-0.9924370142483612-0.08592577647739341j),0.9961498212183972,-3.0552274432448114
22,0.2727272727272727,3.0,10.0,0.0,(-0.9725902583162057-0.12704726362877342j),0.9808531071302893,-3.0117003954539894
23,0.2727272727272727,3.0,15.0,0.0,(-0.8024942594721669-0.357268854665416j),0.8784293204348997,-2.7227392263467434
24,0.2772727272727273,3.0,0.0,0.0,(-0.8855450369955644-0.45231627536464j),0.9943741878725616,-2.669360448772594
25,0.2772727272727273,3.0,5.0,0.0,(-0.87626240743118-0.4667949647472271j),0.9928410475954609,-2.6521196645988088
26,0.2772727272727273,3.0,10.0,0.0,(-0.8245999704425737-0.5378903247289941j),0.9845258313985247,-2.5635990580498906
27,0.2772727272727273,3.0,15.0,0.0,(-0.42374318551650986-0.7289852302956246j),0.8431949675258055,-2.097336002019078
28,0.2818181818181818,3.0,0.0,0.0,(-0.60595637681058-0.7619257276372029j),0.9735060066752987,-2.2426623016724574
29,0.2818181818181818,3.0,5.0,0.0,(-0.5866221074081583-0.780387439097604j),0.9762837968548416,-2.215388535002873
30,0.2818181818181818,3.0,10.0,0.0,(-0.4823620025530896-0.8563192306945955j),0.9828304667461274,-2.0837909717825265
31,0.2818181818181818,3.0,15.0,0.0,(0.08629209478308962-0.8177100409292619j),0.8222505923735105,-1.4656565005977902
32,0.2863636363636364,3.0,0.0,0.0,(-0.14875648809237932-0.8937705326120013j),0.9060652612892289,-1.7357215385606493
33,0.2863636363636364,3.0,5.0,0.0,(-0.14306231724549567-0.9161418060117149j),0.9272446469719076,-1.725702668751753
34,0.2863636363636364,3.0,10.0,0.0,(-0.01832252382313428-0.9696850355888427j),0.9698581252555367,-1.5896894137578153
35,0.2863636363636364,3.0,15.0,0.0,(0.5209116837582405-0.635518542825117j),0.8217255019472167,-0.8841796068963068
36,0.2909090909090909,3.0,0.0,0.0,(-0.13560012810170474+0.023304959598930242j),0.1375882112795515,2.971390129201637
37,0.2909090909090909,3.0,5.0,0.0,(0.3866995946310646-0.458251890527185j),0.5996093492096074,-0.8698787447560956
38,0.2909090909090909,3.0,10.0,0.0,(0.4521578009968896-0.8089307072254088j),0.9267230255553938,-1.0611020580217336
39,0.2909090909090909,3.0,15.0,0.0,(0.7781079829551201-0.29473313504007004j),0.8320574824067347,-0.36208208339474024
40,0.29545454545454547,3.0,0.0,0.0,(-0.12196263240649755-0.9875808531768447j),0.9950833257898692,-1.6936705331636661
41,0.29545454545454547,3.0,5.0,0.0,(-0.3292152449650512-0.8385794658358945j),0.9008874502616921,-1.944895740144404
42,0.29545454545454547,3.0,10.0,0.0,(0.6779588884617946-0.22717314741222053j),0.7150076176863619,-0.32332528787291376
43,0.29545454545454547,3.0,15.0,0.0,(0.8344958184111547+0.1143263838791054j),0.8422908007313006,0.13615294439595313
44,0.3,3.0,0.0,0.0,(0.29271770105200673-0.9552715413473861j),0.9991132919831378,-1.273456831510341
45,0.3,3.0,5.0,0.0,(0.2380783208496008-0.9619416947860203j),0.9909657466463543,-1.3281741880416
46,0.3,3.0,10.0,0.0,(-0.13396901297038818-0.2411325536040799j),0.2758488804470384,-2.077915376233502
47,0.3,3.0,15.0,0.0,(0.6441604989634089+0.5393532019280157j),0.8401455974143951,0.6970725220828567
48,0.30454545454545456,3.0,0.0,0.0,(0.5637763876679038-0.8236848903582064j),0.9981485930943754,-0.9705786660170435
49,0.30454545454545456,3.0,5.0,0.0,(0.5485099575882113-0.8308338973980562j),0.9955642312975418,-0.9872895349649401
50,0.30454545454545456,3.0,10.0,0.0,(0.3103813753740007-0.7283124259516285j),0.7916915990299522,-1.167939199593695
51,0.30454545454545456,3.0,15.0,0.0,(0.01631355600106702+0.7698605775190576j),0.7700334024750983,1.5496092243650033
52,0.3090909090909091,3.0,0.0,0.0,(0.7676270699984727-0.6405217227261552j),0.9997596690597804,-0.6953779724485494
53,0.3090909090909091,3.0,5.0,0.0,(0.756990908467765-0.6460197220313786j),0.9951767263940369,-0.7064674440354176
54,0.3090909090909091,3.0,10.0,0.0,(0.6542863737185531-0.6004885112476815j),0.8880749467101474,-0.7425498921635424
55,0.3090909090909091,3.0,15.0,0.0,(-0.39585944089412567-0.0027326880357328542j),0.3958688728972138,-3.134689585614227
56,0.3136363636363636,3.0,0.0,0.0,(0.9183311944763662-0.3865446199360056j),0.996367866779063,-0.39841038606480583
57,0.3136363636363636,3.0,5.0,0.0,(0.9027455018531737-0.40296413221005206j),0.9885997840197714,-0.4198363115459539
58,0.3136363636363636,3.0,10.0,0.0,(0.8199779489043828-0.4037685816171921j),0.9139983064484297,-0.45756037359663887
59,0.3136363636363636,3.0,15.0,0.0,(-0.02244986211441387-0.3110125021198515j),0.31182170030933837,-1.6428544994763323
60,0.3181818181818182,3.0,0.0,0.0,(0.9424379425008689+0.016323281535025762j),0.9425792937389101,0.01731854036117417
61,0.3181818181818182,3.0,5.0,0.0,(0.9235429873224159+0.011533319870882007j),0.9236149992825237,0.012487475442250305
