,r1,wave,theta,t,p,phi
0,1.5,3.0,0.0,0.40264918435904096,1.2668799019221737,0.0
1,1.5183673469387755,3.0,0.0,0.617267423581427,1.5735636733274765,0.0
2,1.536734693877551,3.0,0.0,0.9300292077300676,2.13161174348423,0.0
3,1.5551020408163265,3.0,0.0,0.9621725820335199,1.967673801581622,0.0
4,1.573469387755102,3.0,0.0,0.9816292129213066,2.2955236925506632,0.0
5,1.5918367346938775,3.0,0.0,0.9723371755187248,2.5372752772937943,0.0
6,1.610204081632653,3.0,0.0,0.9691130173636789,2.586127915306677,0.0
7,1.6285714285714286,3.0,0.0,0.8237683889326205,2.401232174183736,0.0
8,1.646938775510204,3.0,0.0,0.9268464549274888,2.4337400069592032,0.0
9,1.6653061224489796,3.0,0.0,0.977209762938058,2.5674077922034932,0.0
10,1.683673469387755,3.0,0.0,0.9149007634570814,2.542272236578196,0.0
11,1.7020408163265306,3.0,0.0,0.8601652614015708,2.5932239359214933,0.0
12,1.720408163265306,3.0,0.0,0.9038529978861228,2.6193976019316665,0.0
13,1.7387755102040816,3.0,0.0,0.8281633320949476,2.637607375140254,0.0
14,1.7571428571428571,3.0,0.0,0.8222132842022891,2.5943773730673687,0.0
15,1.7755102040816326,3.0,0.0,0.8229179307782234,2.8004206384449484,0.0
16,1.7938775510204081,3.0,0.0,0.5952849427663688,2.93153684875924,0.0
17,1.8122448979591836,3.0,0.0,0.9638382576650927,2.7825422971591225,0.0
18,1.8306122448979592,3.0,0.0,0.9445490751280182,3.0870123051466445,0.0
19,1.8489795918367347,3.0,0.0,0.8921754695348699,-2.549988287371205,0.0
20,1.8673469387755102,3.0,0.0,0.6901713003118413,2.020569853850933,0.0
21,1.8857142857142857,3.0,0.0,0.8456770084896194,2.695592867131362,0.0
22,1.9040816326530612,3.0,0.0,0.8338290954113325,2.942472862175091,0.0
23,1.9224489795918367,3.0,0.0,0.7968927301667934,2.831188654418445,0.0
24,1.9408163265306122,3.0,0.0,0.858512441324541,2.9684630780311334,0.0
25,1.9591836734693877,3.0,0.0,0.8701067686298108,2.782268269374307,0.0
26,1.9775510204081632,3.0,0.0,0.8540852061541838,2.5988762936562804,0.0
27,1.9959183673469387,3.0,0.0,0.8319935836010599,2.5123461221376493,0.0
28,2.0142857142857142,3.0,0.0,0.8270895953505433,2.394854715520138,0.0
29,2.0326530612244897,3.0,0.0,0.8232567614311009,2.3704075433006793,0.0
30,2.0510204081632653,3.0,0.0,0.7769292994757786,2.4683230693129845,0.0
31,2.0693877551020408,3.0,0.0,0.8093264927543934,2.490820525216286,0.0
32,2.0877551020408163,3.0,0.0,0.8714116635889129,2.6494574142899374,0.0
33,2.1061224489795918,3.0,0.0,0.8470350538766447,2.6620500606811106,0.0
34,2.1244897959183673,3.0,0.0,0.8333281587436403,2.946069663367501,0.0
35,2.142857142857143,3.0,0.0,0.792857155101556,-3.128328989126489,0.0
36,2.1612244897959183,3.0,0.0,0.7593448051276858,-2.789392947199868,0.0
37,2.179591836734694,3.0,0.0,0.726728291806003,-2.4293831530938457,0.0
38,2.1979591836734693,3.0,0.0,0.6399695727342872,-3.038615024785374,0.0
39,2.216326530612245,3.0,0.0,0.40811761259039125,-2.3978398612692224,0.0
40,2.2346938775510203,3.0,0.0,0.7873914103105857,2.814250200890257,0.0
41,2.253061224489796,3.0,0.0,0.846393453168243,-2.9013555774465596,0.0
42,2.2714285714285714,3.0,0.0,0.7960964116578054,-2.5594022376272374,0.0
43,2.289795918367347,3.0,0.0,0.7461348627681648,-2.222344483379178,0.0
44,2.3081632653061224,3.0,0.0,0.7806126836084535,-2.191531035867289,0.0
45,2.326530612244898,3.0,0.0,0.6839112824335891,-0.34428201292781324,0.0
46,2.3448979591836734,3.0,0.0,0.6962388516150779,3.0483604584468953,0.0
47,2.363265306122449,3.0,0.0,0.8073247160946307,-2.4907595429152014,0.0
48,2.3816326530612244,3.0,0.0,0.8346728433220282,-2.4030543686070533,0.0
49,2.4,3.0,0.0,0.844437087306151,-1.5091787964007288,0.0
50,1.5,3.0,5.0,0.761466328514689,1.8927853289428933,0.0
51,1.5183673469387755,3.0,5.0,0.6865272022833645,1.5598042583953173,0.0
52,1.536734693877551,3.0,5.0,0.8622220029179929,1.7914495423066281,0.0
53,1.5551020408163265,3.0,5.0,0.9703615673224069,1.8729607070557055,0.0
54,1.573469387755102,3.0,5.0,0.9622596053666308,2.1746356432759466,0.0
55,1.5918367346938775,3.0,5.0,0.8502487715531797,2.309860896542892,0.0
56,1.610204081632653,3.0,5.0,0.8914424287593301,2.197718047337391,0.0
57,1.6285714285714286,3.0,5.0,0.8504492902018707,2.2644177452252148,0.0
58,1.646938775510204,3.0,5.0,0.843298620097307,2.0609690835846717,0.0
59,1.6653061224489796,3.0,5.0,0.9796213233402256,2.392911454077306,0.0
60,1.683673469387755,3.0,5.0,0.9570993236197599,2.5905971372952017,0.0
61,1.7020408163265306,3.0,5.0,0.9161888801337312,2.5051222637621784,0.0
62,1.720408163265306,3.0,5.0,0.806199596357226,2.3623149215661687,0.0
63,1.7387755102040816,3.0,5.0,0.8666452755626064,2.4868874181177567,0.0
64,1.7571428571428571,3.0,5.0,0.7929296999798052,2.653687814866327,0.0
65,1.7755102040816326,3.0,5.0,0.8406779422968144,2.675214205149217,0.0
66,1.7938775510204081,3.0,5.0,0.6606821884128803,2.537294149643081,0.0
67,1.8122448979591836,3.0,5.0,0.9543745066403434,2.6458920083468866,0.0
68,1.8306122448979592,3.0,5.0,0.9163154563153325,2.947508795315354,0.0
