,r1,wave,theta,phi,t,p
0,0.25,4.0,0.0,0.0,0.6492915671372222,1.134497152872235
1,0.2505,4.0,0.0,0.0,0.6491135185154766,1.1383320641547277
2,0.251,4.0,0.0,0.0,0.6489334489268124,1.1421863256815057
3,0.2515,4.0,0.0,0.0,0.6487513699838479,1.1460599844413444
4,0.252,4.0,0.0,0.0,0.6485672942517242,1.149953087615057
5,0.25249999999999995,4.0,0.0,0.0,0.6483812352689549,1.1538656826015359
6,0.253,4.0,0.0,0.0,0.648193207568513,1.1577978170438261
7,0.2535,4.0,0.0,0.0,0.6480032266991155,1.1617495388566375
8,0.25399999999999995,4.0,0.0,0.0,0.6478113092467572,1.165720896254384
9,0.2545,4.0,0.0,0.0,0.6476174728564625,1.1697119377798857
10,0.255,4.0,0.0,0.0,0.6474217362542378,1.1737227123343827
11,0.2555,4.0,0.0,0.0,0.6472241192692599,1.1777532692079467
12,0.256,4.0,0.0,0.0,0.6470246428563053,1.1818036581111606
13,0.2565,4.0,0.0,0.0,0.6468233291183665,1.185873929207345
14,0.257,4.0,0.0,0.0,0.6466202013295191,1.1899641331460815
15,0.25749999999999995,4.0,0.0,0.0,0.6464152839579986,1.194074321097393
16,0.258,4.0,0.0,0.0,0.6462086026895204,1.1982045447869254
17,0.2585,4.0,0.0,0.0,0.6460001844507889,1.2023548565321873
18,0.25899999999999995,4.0,0.0,0.0,0.6457900574332848,1.2065253092799593
19,0.2595,4.0,0.0,0.0,0.6455782511172168,1.210715956644298
20,0.26,4.0,0.0,0.0,0.645364796295772,1.214926852945936
21,0.2605,4.0,0.0,0.0,0.6451497250995273,1.2191580532525457
22,0.26099999999999995,4.0,0.0,0.0,0.6449330710211391,1.223409613420246
23,0.2615,4.0,0.0,0.0,0.6447148689402395,1.227681590136249
24,0.262,4.0,0.0,0.0,0.6444951551485874,1.231974040962294
25,0.26249999999999996,4.0,0.0,0.0,0.6442739673754109,1.2362870243796507
26,0.263,4.0,0.0,0.0,0.6440513448130556,1.2406205998350377
27,0.2635,4.0,0.0,0.0,0.6438273281428029,1.2449748277879389
28,0.26399999999999996,4.0,0.0,0.0,0.6436019595609631,1.2493497697588893
29,0.26449999999999996,4.0,0.0,0.0,0.6433752828052148,1.2537454883793482
30,0.265,4.0,0.0,0.0,0.6431473431811732,1.2581620474424282
31,0.2655,4.0,0.0,0.0,0.6429181875892152,1.262599511955431
32,0.26599999999999996,4.0,0.0,0.0,0.6426878645515537,1.2670579481931405
33,0.2665,4.0,0.0,0.0,0.6424564242395682,1.2715374237531085
34,0.267,4.0,0.0,0.0,0.6422239185013736,1.2760380076118147
35,0.26749999999999996,4.0,0.0,0.0,0.641990400889693,1.2805597701825049
36,0.268,4.0,0.0,0.0,0.6417559266899421,1.2851027833742652
37,0.2685,4.0,0.0,0.0,0.6415205529486178,1.2896671206529415
38,0.26899999999999996,4.0,0.0,0.0,0.6412843385019349,1.2942528571031353
39,0.26949999999999996,4.0,0.0,0.0,0.6410473440047662,1.2988600694920558
40,0.27,4.0,0.0,0.0,0.6408096319598323,1.3034888363348287
41,0.2705,4.0,0.0,0.0,0.6405712667472048,1.3081392379613312
42,0.27099999999999996,4.0,0.0,0.0,0.640332314654071,1.312811356584922
43,0.2715,4.0,0.0,0.0,0.6400928439048269,1.3175052763724355
44,0.272,4.0,0.0,0.0,0.6398529246914463,1.3222210835163928
45,0.27249999999999996,4.0,0.0,0.0,0.6396126292041714,1.3269588663085095
46,0.27299999999999996,4.0,0.0,0.0,0.6393720316624957,1.3317187152153682
47,0.2735,4.0,0.0,0.0,0.6391312083465023,1.3365007229556474
48,0.27399999999999997,4.0,0.0,0.0,0.6388902376284936,1.3413049845792053
49,0.27449999999999997,4.0,0.0,0.0,0.63864920000498,1.3461315975485246
50,0.275,4.0,0.0,0.0,0.6384081781289817,1.3509806618215012
51,0.2755,4.0,0.0,0.0,0.6381672568427084,1.3558522799363988
52,0.27599999999999997,4.0,0.0,0.0,0.6379265232105681,1.3607465570994124
53,0.2765,4.0,0.0,0.0,0.6376860665525577,1.3656636012734618
54,0.277,4.0,0.0,0.0,0.6374459784780137,1.37060352326976
55,0.27749999999999997,4.0,0.0,0.0,0.6372063529197446,1.3755664368411766
56,0.27799999999999997,4.0,0.0,0.0,0.6369672861685562,1.380552458778269
57,0.2785,4.0,0.0,0.0,0.636728876908168,1.385561709007122
58,0.27899999999999997,4.0,0.0,0.0,0.6364912262505447,1.3905943106898744
59,0.27949999999999997,4.0,0.0,0.0,0.6362544377716288,1.3956503903275153
60,0.28,4.0,0.0,0.0,0.6360186175475094,1.400730077865327
61,0.2805,4.0,0.0,0.0,0.6357838741910251,1.4058335068004169
62,0.28099999999999997,4.0,0.0,0.0,0.635550318888812,1.410960814292416
63,0.2815,4.0,0.0,0.0,0.6353180654387882,1.416112141276291
64,0.28200000000000003,4.0,0.0,0.0,0.6350872302881326,1.4212876325783834
65,0.2825,4.0,0.0,0.0,0.6348579325717205,1.426487437034733
66,0.283,4.0,0.0,0.0,0.6346302941510361,1.4317117076124388
67,0.28350000000000003,4.0,0.0,0.0,0.6344044396535995,1.4369606015342729
68,0.284,4.0,0.0,0.0,0.6341804965128823,1.4422342804057098
69,0.2845,4.0,0.0,0.0,0.6339585950087505,1.4475329103454433
70,0.28500000000000003,4.0,0.0,0.0,0.6337388683084156,1.4528566621190526
71,0.28550000000000003,4.0,0.0,0.0,0.6335214525079439,1.4582057112754854
72,0.286,4.0,0.0,0.0,0.6333064866742915,1.4635802382875631
73,0.2865,4.0,0.0,0.0,0.633094112887893,1.468980428695058
74,0.28700000000000003,4.0,0.0,0.0,0.6328844762858317,1.4744064732521462
75,0.2875,4.0,0.0,0.0,0.6326777251055519,1.4798585680776823
76,0.288,4.0,0.0,0.0,0.632474010729186,1.4853369148096052
77,0.2885,4.0,0.0,0.0,0.6322734877284392,1.4908417207629963
78,0.28900000000000003,4.0,0.0,0.0,0.632076313910071,1.4963731990922287
79,0.2895,4.0,0.0,0.0,0.6318826503620097,1.5019315689564827
80,0.29,4.0,0.0,0.0,0.6316926615000276,1.5075170556903086
81,0.29050000000000004,4.0,0.0,0.0,0.6315065151150593,1.5131298909775215
82,0.291,4.0,0.0,0.0,0.6313243824211163,1.5187703130300383
83,0.2915,4.0,0.0,0.0,0.6311464381038351,1.5244385667708407
84,0.29200000000000004,4.0,0.0,0.0,0.6309728603696215,1.5301349040215342
85,0.2925,4.0,0.0,0.0,0.6308038309954275,1.5358595836948536
86,0.293,4.0,0.0,0.0,0.6306395353791379,1.5416128719917621
87,0.29350000000000004,4.0,0.0,0.0,0.6304801625905645,1.547395042603503
88,0.29400000000000004,4.0,0.0,0.0,0.6303259054230576,1.5532063769190094
89,0.2945,4.0,0.0,0.0,0.6301769604456943,1.559047164237246
90,0.295,4.0,0.0,0.0,0.6300335280560587,1.56491770198531
91,0.29550000000000004,4.0,0.0,0.0,0.6298958125336133,1.5708182959416908
92,0.296,4.0,0.0,0.0,0.6297640220936062,1.576749260465682
93,0.2965,4.0,0.0,0.0,0.6296383689415236,1.5827109187323023
94,0.297,4.0,0.0,0.0,0.6295190693280486,1.5887036029735593
95,0.2975,4.0,0.0,0.0,0.6294063436045207,1.5947276547255824
96,0.298,4.0,0.0,0.0,0.6293004162788499,1.6007834250826303
97,0.2985,4.0,0.0,0.0,0.6292015160718367,1.6068712749572
98,0.29900000000000004,4.0,0.0,0.0,0.6291098759738929,1.6129915753472222
99,0.2995,4.0,0.0,0.0,0.6290257333021039,1.619144707610246
100,0.3,4.0,0.0,0.0,0.6289493297575417,1.6253310637445384
101,0.30050000000000004,4.0,0.0,0.0,0.6288809114828532,1.6315510466777274
102,0.301,4.0,0.0,0.0,0.6288207291199696,1.6378050705629776
103,0.3015,4.0,0.0,0.0,0.6287690378679371,1.6440935610831333
104,0.30200000000000005,4.0,0.0,0.0,0.6287260975407518,1.6504169557625283
105,0.3025,4.0,0.0,0.0,0.6286921726251165,1.656775704287392
106,0.303,4.0,0.0,0.0,0.6286675323380366,1.6631702688345895
107,0.3035,4.0,0.0,0.0,0.6286524506841223,1.669601124408905
108,0.30400000000000005,4.0,0.0,0.0,0.6286472065125127,1.6760687591897094
109,0.3045,4.0,0.0,0.0,0.6286520835732626,1.6825736748863724
110,0.305,4.0,0.0,0.0,0.6286673705730693,1.689116387103434
111,0.3055,4.0,0.0,0.0,0.6286933612301753,1.6956974257153543
112,0.306,4.0,0.0,0.0,0.6287303543282748,1.7023173352514245
113,0.3065,4.0,0.0,0.0,0.6287786537692474,1.7089766752905475
114,0.307,4.0,0.0,0.0,0.6288385686245557,1.7156760208669337
115,0.3075,4.0,0.0,0.0,0.6289104131849159,1.7224159628863756
116,0.308,4.0,0.0,0.0,0.6289945070083272,1.7291971085537563
117,0.3085,4.0,0.0,0.0,0.629091174965804,1.7360200818115383
118,0.30900000000000005,4.0,0.0,0.0,0.6292007472848816,1.7428855237903196
119,0.3095,4.0,0.0,0.0,0.6293235595903443,1.7497940932710623
120,0.31,4.0,0.0,0.0,0.6294599529419578,1.756746467159647
121,0.31050000000000005,4.0,0.0,0.0,0.6296102738688495,1.7637433409736645
122,0.311,4.0,0.0,0.0,0.6297748744000701,1.7707854293423546
123,0.3115,4.0,0.0,0.0,0.6299541120910158,1.7778734665193123
124,0.312,4.0,0.0,0.0,0.6301483500451357,1.7850082069084445
125,0.3125,4.0,0.0,0.0,0.630357956930583,1.7921904256039587
126,0.313,4.0,0.0,0.0,0.6305833069911035,1.7994209189437513
127,0.3135,4.0,0.0,0.0,0.6308247800507467,1.8067005050772125
128,0.314,4.0,0.0,0.0,0.6310827615116532,1.8140300245473684
129,0.3145,4.0,0.0,0.0,0.6313576423443553,1.8214103408874023
130,0.315,4.0,0.0,0.0,0.6316498190697794,1.8288423412326444
131,0.3155,4.0,0.0,0.0,0.6319596937322282,1.8363269369467734
132,0.316,4.0,0.0,0.0,0.6322876738625134,1.8438650642639929
133,0.3165,4.0,0.0,0.0,0.6326341724302839,1.8514576849461866
134,0.317,4.0,0.0,0.0,0.6329996077846854,1.8591057869561312
135,0.3175,4.0,0.0,0.0,0.6333844035821736,1.8668103851456384
136,0.318,4.0,0.0,0.0,0.6337889887005131,1.874572521960212
137,0.3185,4.0,0.0,0.0,0.6342137971376344,1.8823932681590645
138,0.31900000000000006,4.0,0.0,0.0,0.6346592678941867,1.8902737235512526
139,0.3195,4.0,0.0,0.0,0.6351258448383011,1.8982150177472337
140,0.32,4.0,0.0,0.0,0.6356139765511436,1.9062183109265576
141,0.3205,4.0,0.0,0.0,0.6361241161516699,1.9142847946204158
142,0.32099999999999995,4.0,0.0,0.0,0.6366567210988864,1.9224156925104334
143,0.3215,4.0,0.0,0.0,0.6372122529697514,1.9306122612414185
